Almonds,70,425,13,38,13
Apple betty,100,150,1,4,29
Apple juice canned,250,125,0,0,34
Apple vinegar,100,14,0,0,3
Apples raw,130,70,0,0,18
Apricots,250,220,2,0,57
Asparagus,96,18,1,0,3
Avocado,108,185,2,18,6
Bacon,16,95,4,8,1
Baked with cheese,220,475,18,25,44
Banana,150,85,1,0,23
Bean soups,250,190,8,5,30
Bean sprouts,50,17,1,0,3
Beans,125,25,1,0,6
Beef soup,250,100,6,4,11
Beef,85,245,23,16,0
Beer,480,228,0,0,8
Beet greens,100,27,2,0,6
Beetroots,165,1,12,0,0.8
Biscuits,38,130,3,4,18
Blackberries,144,85,2,1,19
Blueberries,250,245,1,0,65
Bouillon,240,24,5,0,0
Bran flakes,25,117,3,0,32
Brazil nuts,70,457,10,47,7
Bread cracked wheat,23,60,2,1,12
Bread pudding,200,374,11,12,56
Broccoli,150,45,5,0,8
Brown firm-packed dark sugar,220,815,0,0,210
Brussels sprouts,130,60,6,0,12
Butter,112,113,114,115,118
Butter,112,113,114,115,118
Butter,14,100,0,11,0
Buttermilk,246,127,9,5,13
Cakes,40,110,3,0,23
Candied,175,235,2,6,80
Candy,25,104,0,3,19
Cane Syrup,20,50,0,0,13
Cantaloupe,380,40,1,0,9
Carbonated drinks Artificially sweetened,346,0,0,0,0
Carrots,150,45,1,0,10
Cashews,70,392,12,32,20
Cauliflower,120,30,3,0,6
Celery,100,20,1,0,4
Chard steamed,150,30,2,0,7
Cheddar grated cup,56,226,14,19,1
Cheddar,17,70,4,6,0
Cheese,225,240,30,11,6
Cherries,257,100,2,1,26
Cherry Pie,135,340,3,13,55
Chicken livers fried,100,140,22,14,2.3
chicken soup,250,75,4,2,10
chicken,85,185,23,9,0
Chocolate creams,30,130,0,4,24
Chocolate fudge,120,420,5,14,70
Chocolate syrup,40,80,0,0,22
Clam chowder,255,85,5,2,12
Clams,85,87,12,1,2
Club soda,346,0,0,0,0
Cocoa,252,235,8,11,26
coconut sweetened,50,274,1,20,26
Cod,100,170,28,5,0
Coffee,230,3,0,0,1
Cola drinks,346,137,0,0,38
Collards,150,51,5,0,8
Converted,187,677,14,0,142
cooked or canned,200,170,5,0,41
Corn bread ground meal,50,100,3,4,15
Corn grits cooked,242,120,8,0,27
Corn meal,118,360,9,4,74
Corn oil,14,125,0,14,0
Corn,100,92,3,1,21
Corned beef hash canned,85,120,12,8,6
Corned beef hash Dried,56,115,19,4,0
Corned beef hash Stew,235,185,15,10,15
Corned beef,85,185,22,10,0
Cornflakes,25,110,2,0,25
Cows' milk,976,660,32,40,48
Crab meat,85,90,14,2,1
Crackers,14,55,1,1,10
Cranberry sauce sweetened,277,530,0,0,142
Cream cheese,28,105,2,11,1
Cream or half-and-half,120,170,4,15,5
Cream soups,255,200,7,12,18
Cucumbers,50,6,0,0,1
Cupcake,50,160,3,3,31
Custard,130,265,7,11,34
Custard,248,285,13,14,28
Dandelion greens,180,80,5,1,16
Dates,178,505,4,0,134
Doughnuts,33,135,2,7,17
Dried uncooked,75,220,4,0,50
Duck domestic,100,370,16,28,0
Eggplant,180,30,2,0,9
Eggs raw,100,150,12,12,0
Eggs Scrambled or fried,128,220,13,16,1
Endive,57,10,1,0,2
European as Muscat Tokay,160,100,1,0,26
Farina,238,105,3,0,22
figs Canned with syrup ,115,130,1,0,32
Figs,42,120,2,0,30
Fish sticks fried,112,200,19,10,8
Flounder,100,200,30,8,0
Flour,110,460,39,22,33
French dressing,15,60,0,6,2
French-fried,60,155,1,7,20
Fresh raw figs,114,90,2,0,22
Fresh raw,114,35,1,0,10
Fresh raw,114,65,1,0,15
Fresh steamed peas,100,70,5,0,12
Fresh,114,55,1,0,14
Fried breast or leg and thigh chicken,85,245,25,15,0
Frozen ,210,330,2,0,78
Frozen peas,100,81,5,0,12
Fruit cake,30,105,2,4,17
Fruit cocktail canned,256,195,1,0,50
Fruit-flavored soda,346,161,0,0,42
Fudge,90,370,0,12,80
Gelatin made with water,239,155,4,0,36
Gin,28,70,0,0,0
Ginger ale,346,105,0,0,28
Gingerbread,55,180,2,7,28
Goats' milk,244,165,8,10,11
Grape juice,250,160,1,0,42
Grapefruit fresh 5 diameter,285,50,1,0,14
Grapefruit juice,250,100,1,0,24
Grapefruit sections,250,170,1,0,44
Grapes,153,70,1,0,16
Ground lean,85,185,24,10,0
Haddock,85,135,16,5,6
Halibut,100,182,26,8,0
Ham as ,57,170,13,13,0
Ham canned spiced,57,165,8,14,1
Ham pan-broiled,85,290,16,22,0
Hamburger,85,245,21,17,0
Hard candies,28,90,0,0,28
heated peas,100,53,3,0,10
Herring,100,211,22,13,0
Honey,42,120,0,0,30
Hydrogenated cooking fat,100,665,0,100,0
Ice cream,188,300,6,18,29
Ice cream,300,250,0,0,0
Ice milk,190,275,9,10,32
Iceberg,100,13,0,0,3
Ices,150,117,0,0,48
Jellies,20,50,0,0,13
Kale,110,45,4,1,8
Kohlrabi,140,40,2,0,9
Lamb chop broiled,115,480,24,35,0
Lambs quarters steamed,150,48,5,0,7
Lard,110,992,0,110,0
Leg roasted,86,314,20,14,0
Lemon juice,125,30,0,0,10
Lemon meringue,120,300,4,12,45
Lemonade concentratefrozen,220,430,0,0,112
Lentils,200,212,15,0,38
Lettuce,100,14,1,0,2
Lima dry cooked,192,260,16,0,48
Lima,160,140,8,0,24
Limeade concentrate frozen,218,405,0,0,108
Lobster,100,92,18,1,0
Macaroni,140,155,5,1,32
Mackerel,85,155,18,9,0
Margarine,112,806,0,91,0
Marshmallows,30,98,1,0,23
Mayonnaise,15,110,0,12,0
Milk chocolate,56,290,2,6,44
Milk skim,984,360,36,0,52
Mince,135,340,3,9,62
Molasses,20,45,0,0,11
Muffins,48,135,4,5,19
Mushrooms canned,120,12,2,0,4
Mustard greens,140,30,3,0,6
Navy baked with pork,200,250,11,6,37
Nectar or juice,250,140,1,0,36
Noodle,250,115,6,4,13
Noodles,160,200,7,2,37
Oatmeal,236,150,5,3,26
Okra,100,32,1,0,7
Olive oil,14,125,0,14,0
Olives large,65,72,1,10,3
OlivesRipe,65,105,1,13,1
Onions,210,80,2,0,18
Orange juice,250,112,2,0,25
Oranges 3 diameter,180,60,2,0,16
Oyster stew,85,125,19,6,0
Oysters,230,231,232,233,236
Pancakes 4 diam.,108,250,7,9,28
Papaya,200,75,1,0,18
Parsley,50,2,0,0,0
Parsnips,155,95,2,1,22
Peaches,257,200,1,0,52
Peanut butter natural,50,284,13,24,8
Peanut butter,50,300,12,25,9
Peanuts,50,290,13,25,9
Pears,255,195,1,0,50
Peas,100,66,3,0,13
Pecans,52,343,5,35,7
Peppers canned,38,10,0,0,2
Peppers Raw green sweet,100,25,1,0,6
Peppers with beef and crumbs,150,255,19,9,24
Persimmons,125,75,1,0,20
Pineapple Crushed,260,205,1,0,55
Pineapple juice,250,120,1,0,32
Pineapple,122,95,0,0,26
Pizza 14 diam.,75,180,8,6,23
Plain with no icing,55,180,4,5,31
Plums,256,185,1,0,50
Popcorn salted,28,152,3,7,20
Pork chop 1 thick,100,260,16,21,0
Pork roast,85,310,21,24,0
Pork sausage,100,475,18,44,0
Pot-pie,227,480,18,28,32
Potato chips,20,110,1,7,10
Potatoes baked,100,100,2,0,22
Potatoes Mashed with milk and butter,200,230,4,12,28
Potatoes pan-tried,100,268,4,14,33
Powdered milk,103,515,27,28,39
preserves,20,55,0,0,14
Processed cheese,28,105,7,9,0
Prune juice,240,170,1,0,45
Prunes,270,300,3,1,81
Puddings Sugar,200,770,0,0,199
Puffed rice,14,55,0,0,12
Puffed wheat presweetened,28,105,1,0,26
Pumpkin Pie,130,265,5,12,34
Radishes,50,10,0,0,2
Raisins,88,230,2,0,82
Raspberries,100,100,0,0,25
Raw 2 by 2 1/2,150,30,1,0,6
Raw 2 diameter,60,30,0,0,7
Raw 3 by 2V,182,100,1,1,25
Raw diced,140,75,1,0,19
Raw grated,110,45,1,0,10
Raw green,50,22,0,0,5
Raw red,100,57,0,0,14
Raw,149,54,0,0,12
Red kidney,260,230,15,1,42
Rhubarb sweetened,270,385,1,0,98
Rice flakes,30,115,2,0,26
Rice polish,50,132,6,6,28
Rice,208,748,15,3,154
Roast beef,85,390,16,36,0
Roast,85,305,13,14,0
roasted and salted,70,439,13,40,13
Roasted chicken,100,290,25,20,0
Rolls,50,411,3,12,23
Root beer,346,140,0,0,35
Roquefort type,28,105,6,9,0
Rutabagas,100,32,0,0,8
Rye,23,55,2,1,12
Safflower seed oil,14,125,0,14,0
Salmon,85,120,17,5,0
Salt pork,60,470,3,55,0
Sardines,85,180,22,9,0
Sauerkraut,150,32,1,0,7
Scalloped with cheese potatoes,100,145,6,8,14
Scallops,100,104,18,8,10
Sesame seeds,50,280,9,24,10
Shad,85,170,20,10,0
Shoulder braised,85,285,18,23,0
Shredded wheat biscuit,28,100,3,1,23
Shrimp,85,110,23,1,0
skim instant,85,290,30,0,42
skim non-instant,85,290,30,0,42
skim. milk,250,128,18,4,13
Soda 2 1/2 square,11,45,1,1,8
Soybeans,200,260,22,11,20
Spaghetti with meat sauce,250,285,13,10,35
Spanish rice,250,217,4,4,40
Spinach,100,26,3,0,3
Split cooked peas,100,115,8,0,21
Split-pea soup,250,147,8,3,25
Sponge cake,40,115,3,2,22
Squash,210,35,1,0,8
Stalk raw,40,5,1,0,1
Steak lean,85,220,24,12,0
Steak,85,330,20,27,0
Steamed cabbage,170,40,2,0,9
Steamed potatoes before peeling,100,80,2,0,19
Stewed or canned,240,100,0,0,26
Strawberries,227,242,1,0,60
Strips from raw,50,20,0,0,5
Sunflower seeds,50,280,12,26,10
Sweet potatoes,110,155,2,1,36
Swiss,28,105,7,8,0
Swordfish,100,180,27,6,0
Syrup,40,100,0,0,25
Tangerines,114,40,1,0,10
Tapioca cream pudding,250,335,10,10,42
Tea,230,4,0,0,1
Thousand Island sauce,15,75,0,8,1
Tomato juice,240,50,2,0,10
Tomato soup,245,175,6,7,22
Tomatoes,240,50,2,0,9
Tuna,85,170,25,7,0
Turkey,100,265,27,15,0
Turnip greens,145,45,4,1,8
Turnips steamed,155,40,1,0,9
Veal,85,185,23,9,0
Vegetable,250,80,4,2,14
Waffles,75,240,8,9,30
Walnuts,50,325,7,32,8
Watercress stems raw,50,9,1,0,1
Watermelon,925,120,2,1,29
Wheat (all purpose),110,400,12,1,84
Wheat (whole),120,390,13,2,79
Wheat cooked,200,275,12,1,35
Wheat germ,68,245,17,7,34
Wheat meal cereal unrefined,30,103,4,1,25
Wheat pancakes 4 diam.,108,250,7,9,28
Wheat-germ cereal toasted,65,260,20,7,36
White 20 slices or,454,1225,39,15,229
White,191,692,14,0,150
Whole-wheat,23,55,2,1,11
Whole-wheat,454,1100,48,14,216
Wines,120,164,0,0,9
Winter mashed,200,95,4,0,23
Yolks,34,120,6,10,0